#NEXUS

[1 samples from mcmc run generated by language trees. File written 27-Aug-2021 15:45:43]
[This file contains the values of XI at each leaf.]
[For associated trees see same file with .nex extension]
[Sample 	armenian   	lycian   	hittite   	luvian   	oldirish   	welsh   	latin   	oscan   	umbrian   	oldhighgerman   	gothic   	oldenglish   	oldnorse   	lithuanian   	oldprussian   	oldcslavonic   	latvian   	oldpersian   	vedic   	avestan   	tocharian_a   	tocharian_b   	albanian   	greek   	]
          20 	0.99654703 	0.15318901 	0.92633053 	0.56350593 	0.99147460 	0.99492208 	0.98800957 	0.22852718 	0.32585620 	0.99668264 	0.86937498 	0.99998244 	0.99995864 	0.99995351 	0.86704032 	0.98225528 	0.99951572 	0.39665224 	0.99547569 	0.92484608 	0.92244363 	0.94052569 	0.99713109 	0.98860569 	
          21 	0.99722671 	0.12195105 	0.88839124 	0.53402292 	0.99142171 	0.99766267 	0.99132403 	0.31008540 	0.35030366 	0.99754766 	0.90153827 	0.99990004 	0.99987741 	0.99991252 	0.86213558 	0.98256091 	0.99865675 	0.45692485 	0.99782948 	0.93109251 	0.88439032 	0.96581982 	0.99833295 	0.99034487 	
          22 	0.99817024 	0.15202524 	0.88036868 	0.48721432 	0.99366896 	0.99796473 	0.99793412 	0.23804390 	0.26900375 	0.99835941 	0.89221844 	0.99998267 	0.99921227 	0.99994788 	0.86145530 	0.98761135 	0.99784357 	0.46227822 	0.99916955 	0.94401538 	0.88835008 	0.94087991 	0.99735691 	0.99123503 	
          23 	0.99799824 	0.19126282 	0.89954483 	0.45939057 	0.99455116 	0.99506800 	0.99824092 	0.22450719 	0.35361577 	0.99876807 	0.89367860 	0.99997193 	0.99913528 	0.99995976 	0.86242152 	0.98700950 	0.99927402 	0.38621852 	0.99884887 	0.93714904 	0.91820355 	0.95586305 	0.99715702 	0.99689674 	
          24 	0.99725019 	0.10514085 	0.91291863 	0.53637617 	0.98916815 	0.99542942 	0.99222708 	0.21028232 	0.34123762 	0.99677997 	0.89419797 	0.99991475 	0.99904047 	0.99977640 	0.86862793 	0.99487427 	0.99856122 	0.37495993 	0.99598716 	0.94069563 	0.89806705 	0.95181366 	0.99658595 	0.99350664 	
          25 	0.99515645 	0.13484944 	0.91359481 	0.54458110 	0.98624552 	0.99769859 	0.99144920 	0.23650030 	0.31120742 	0.99869106 	0.87707957 	0.99982940 	0.99901429 	0.99980430 	0.89319944 	0.98415081 	0.99623555 	0.40139346 	0.99608838 	0.93317273 	0.92388279 	0.95368849 	0.99838783 	0.99427000 	
          26 	0.99542440 	0.11142305 	0.91291864 	0.47702361 	0.98061646 	0.98875442 	0.99667182 	0.24315297 	0.27194847 	0.99158759 	0.88480536 	0.99988326 	0.99820421 	0.99916310 	0.86091347 	0.98569710 	0.99724332 	0.46346652 	0.98530704 	0.93875105 	0.93351779 	0.96586001 	0.99788419 	0.99644407 	
          27 	0.99394878 	0.11156853 	0.90817054 	0.49215292 	0.98160904 	0.99584386 	0.99621533 	0.24401369 	0.28420547 	0.99051453 	0.89196675 	0.99984970 	0.99924446 	0.99644204 	0.87076133 	0.98667000 	0.99628641 	0.41371605 	0.99347320 	0.94996333 	0.90328022 	0.93905603 	0.99117484 	0.99630842 	
          28 	0.99533908 	0.14672380 	0.92541888 	0.57106329 	0.99249433 	0.98921732 	0.99603751 	0.29917176 	0.31252949 	0.99351640 	0.88598874 	0.99985293 	0.99776444 	0.99397181 	0.86104025 	0.97855757 	0.99774224 	0.43691533 	0.99297043 	0.94409988 	0.92157179 	0.95046424 	0.98487049 	0.99398730 	
          29 	0.99956580 	0.14021564 	0.91589198 	0.45806296 	0.99595800 	0.98739840 	0.99752464 	0.30764248 	0.31038508 	0.99697148 	0.90398099 	0.99943257 	0.99726068 	0.99598423 	0.86630753 	0.97661972 	0.99630078 	0.43515892 	0.99251822 	0.93309468 	0.92616749 	0.95882927 	0.99292706 	0.99805505 	
