#NEXUS

[1 samples from mcmc run generated by language trees. File written 11-Aug-2021 13:44:13]
[This file contains the values of XI at each leaf.]
[For associated trees see same file with .nex extension]
[Sample 	armenian   	lycian   	luvian   	hittite   	oldirish   	welsh   	latin   	oscan   	umbrian   	oldenglish   	gothic   	oldhighgerman   	oldnorse   	lithuanian   	oldprussian   	oldcslavonic   	latvian   	oldpersian   	vedic   	avestan   	tocharian_b   	tocharian_a   	albanian   	greek   	]
          11 	0.99973287 	0.22662126 	0.58409952 	0.95294738 	0.99068213 	0.99984906 	0.99984744 	0.24094196 	0.31472888 	0.99979166 	0.88818561 	0.99989688 	0.99981093 	0.99993161 	0.86954988 	0.99189113 	0.99991432 	0.31627721 	0.99986888 	0.94719876 	0.94296972 	0.88253519 	0.99988646 	0.99977249 	
          12 	0.99973287 	0.22662126 	0.58409952 	0.94275024 	0.99068213 	0.99984906 	0.99984744 	0.24094196 	0.31472888 	0.99979166 	0.88818561 	0.99989688 	0.99981093 	0.99994200 	0.86954988 	0.99189113 	0.99991432 	0.31627721 	0.99986888 	0.94719876 	0.94296972 	0.88253519 	0.99992458 	0.99977249 	
          13 	0.99973287 	0.22662126 	0.58409952 	0.94275024 	0.99068213 	0.99984906 	0.99984744 	0.24094196 	0.31472888 	0.99979166 	0.88818561 	0.99989688 	0.99981093 	0.99994200 	0.80791294 	0.99189113 	0.99991432 	0.31627721 	0.99986888 	0.94719876 	0.93186379 	0.88253519 	0.99992458 	0.99977249 	
          14 	0.99972709 	0.20989598 	0.57510515 	0.94151214 	0.99048062 	0.99984580 	0.99984415 	0.22452639 	0.29990904 	0.99978716 	0.88576749 	0.99989465 	0.99980684 	0.99994075 	0.80375881 	0.99171577 	0.99991247 	0.30149086 	0.99986604 	0.94605687 	0.93039026 	0.87999487 	0.99992295 	0.99987570 	
          15 	0.99972709 	0.58837456 	0.57510515 	0.94151214 	0.99048062 	0.99984580 	0.99984415 	0.22452639 	0.29990904 	0.99978716 	0.88576749 	0.99989465 	0.99980684 	0.99994075 	0.80375881 	0.99171577 	0.99991247 	0.30149086 	0.99986604 	0.94605687 	0.93039026 	0.87999487 	0.99996016 	0.99987570 	
          16 	0.99964815 	0.46929548 	0.45218737 	0.92459219 	0.98942108 	0.99980119 	0.99979906 	0.00018971 	0.09737981 	0.99972558 	0.85272118 	0.99986418 	0.99975096 	0.99992361 	0.81348921 	0.98931923 	0.99988715 	0.09941922 	0.99982729 	0.93045167 	0.90024948 	0.84527859 	0.99994864 	0.99983975 	
          17 	0.99964815 	0.46929548 	0.45218737 	0.92459219 	0.98942108 	0.99972813 	0.99979906 	0.00018971 	0.09737981 	0.99972558 	0.85272118 	0.99986418 	0.99975096 	0.99992361 	0.81348921 	0.99038807 	0.99988715 	0.09941922 	0.99982729 	0.93045167 	0.90024948 	0.84527859 	0.99994864 	0.99983975 	
          18 	0.99964815 	0.46929548 	0.45218737 	0.92459219 	0.98942108 	0.99972813 	0.99979906 	0.00018971 	0.09737981 	0.99972558 	0.88896617 	0.99986418 	0.99975096 	0.99992361 	0.81348921 	0.99008616 	0.99988715 	0.09941922 	0.99982729 	0.93045167 	0.92651018 	0.84527859 	0.99994864 	0.99983975 	
          19 	0.99964815 	0.46929548 	0.45218737 	0.92459219 	0.98942108 	0.99972813 	0.99979906 	0.00018971 	0.09737981 	0.99972558 	0.88896617 	0.99986418 	0.99975096 	0.99992361 	0.82001560 	0.99008616 	0.99988715 	0.09941922 	0.99982729 	0.93045167 	0.92651018 	0.84527859 	0.99995859 	0.99983975 	
          20 	0.99964815 	0.46929548 	0.45218737 	0.92459219 	0.98942108 	0.99972813 	0.99979906 	0.00018971 	0.15428979 	0.99972558 	0.88896617 	0.99986418 	0.99975096 	0.99992361 	0.82001560 	0.99008616 	0.99988715 	0.09941922 	0.99982729 	0.92394326 	0.92651018 	0.84527859 	0.99995859 	0.99983975 	
