#NEXUS

[1 samples from mcmc run generated by language trees. File written 27-Aug-2021 15:44:16]
[This file contains the values of XI at each leaf.]
[For associated trees see same file with .nex extension]
[Sample 	armenian   	lycian   	hittite   	luvian   	oldirish   	welsh   	latin   	oscan   	umbrian   	oldhighgerman   	gothic   	oldenglish   	oldnorse   	lithuanian   	oldprussian   	oldcslavonic   	latvian   	avestan   	vedic   	oldpersian   	tocharian_b   	tocharian_a   	albanian   	greek   	]
         273 	0.28203057 	0.89659315 	0.49115046 	0.86406659 	0.02651500 	0.45057925 	0.95130015 	0.68631301 	0.41413664 	0.18874688 	0.56063521 	0.73667862 	0.09898343 	0.65222139 	0.71594647 	0.48947761 	0.57941830 	0.94451461 	0.24164378 	0.93455682 	0.70269833 	0.25199757 	0.43071867 	0.19168400 	
         274 	0.32562502 	0.72948778 	0.65258166 	0.41565186 	0.13563915 	0.33542171 	0.89011135 	0.48312592 	0.20012896 	0.00417901 	0.79489338 	0.54144547 	0.00862404 	0.85060819 	0.74724943 	0.29521079 	0.05519177 	0.80100682 	0.05392063 	0.64176991 	0.73504146 	0.64471069 	0.78843208 	0.19046338 	
         275 	0.60846432 	0.73100976 	0.35663386 	0.62739232 	0.43949118 	0.36972254 	0.35282655 	0.10044185 	0.61900744 	0.06364787 	0.50010048 	0.11422276 	0.40524712 	0.42361949 	0.86565137 	0.68388878 	0.20118591 	0.88859562 	0.41346140 	0.20434750 	0.32517814 	0.63092452 	0.74365476 	0.55223101 	
         276 	0.22822708 	0.62226363 	0.39230916 	0.30990152 	0.68925897 	0.31479460 	0.80668746 	0.14669536 	0.77005725 	0.33146466 	0.83610845 	0.14577953 	0.46477059 	0.17201385 	0.82149682 	0.92049516 	0.14395991 	0.70588379 	0.26522572 	0.16995114 	0.71721854 	0.33111129 	0.35538996 	0.57186402 	
         277 	0.07716638 	0.01669698 	0.03137628 	0.11090351 	0.08420686 	0.09388367 	0.73554973 	0.03629650 	0.54549880 	0.74745106 	0.21058800 	0.15749385 	0.47609749 	0.07910909 	0.23092587 	0.23789259 	0.16406001 	0.15547326 	0.18457975 	0.10164769 	0.23456266 	0.78875195 	0.06976964 	0.37278863 	
         278 	0.51763909 	0.43589598 	0.70371364 	0.33309420 	0.76629738 	0.20197691 	0.50318030 	0.51095509 	0.10837969 	0.69637884 	0.28228309 	0.34774508 	0.92978536 	0.61278270 	0.78489725 	0.08324166 	0.10586237 	0.58790886 	0.26262240 	0.17412844 	0.13214968 	0.69582021 	0.00232116 	0.00318867 	
         279 	0.42386970 	0.38034890 	0.63636309 	0.33933597 	0.90900168 	0.45533727 	0.19782582 	0.83485136 	0.13198721 	0.60224471 	0.69230996 	0.42291010 	0.95461914 	0.92528951 	0.80385872 	0.42279531 	0.51654563 	0.49526554 	0.09956335 	0.81081899 	0.49806555 	0.77146337 	0.84894987 	0.44326725 	
         280 	0.20079259 	0.60433337 	0.34355429 	0.04294654 	0.90998471 	0.30494269 	0.19980360 	0.91562828 	0.53842773 	0.26071629 	0.89301147 	0.20408479 	0.89068750 	0.64483485 	0.86342890 	0.00404699 	0.54165239 	0.12459159 	0.26733869 	0.90101663 	0.67075782 	0.58422054 	0.94530337 	0.27249322 	
         281 	0.58516410 	0.30499241 	0.59480086 	0.58015655 	0.64995354 	0.47563166 	0.13486376 	0.97533612 	0.34094864 	0.77537476 	0.85862374 	0.69645175 	0.85862561 	0.51992264 	0.75792589 	0.24516919 	0.62274731 	0.11581518 	0.11748258 	0.12164627 	0.93326616 	0.03423973 	0.75063959 	0.27251855 	
         282 	0.03241609 	0.53593908 	0.15331190 	0.92012558 	0.75077222 	0.56568367 	0.53244228 	0.93907864 	0.16610181 	0.84354257 	0.96027644 	0.59462969 	0.84214987 	0.00664245 	0.26244390 	0.27991361 	0.68734427 	0.82249501 	0.03308646 	0.57892829 	0.90154884 	0.13108919 	0.44091535 	0.57198956 	
         283 	0.33956620 	0.67483679 	0.50746581 	0.89615397 	0.43486536 	0.76543756 	0.02896902 	0.98861863 	0.16693604 	0.87452472 	0.45432760 	0.59925221 	0.04229980 	0.46722178 	0.29789199 	0.86606789 	0.51032938 	0.13416806 	0.55781106 	0.96284066 	0.90174631 	0.27227224 	0.51180582 	0.31484596 	
         284 	0.40474328 	0.96564333 	0.24265442 	0.67586060 	0.39826761 	0.03778590 	0.28472181 	0.99597111 	0.05493836 	0.21839546 	0.44714839 	0.21287546 	0.25649006 	0.25032910 	0.43482135 	0.27506772 	0.56191220 	0.53689161 	0.02880012 	0.99402281 	0.79630004 	0.59076911 	0.29057886 	0.48913666 	
         285 	0.79284388 	0.93018468 	0.03306895 	0.04894611 	0.71442797 	0.39342116 	0.45917388 	0.99640705 	0.23750373 	0.80612360 	0.68184369 	0.60166716 	0.50440475 	0.11428645 	0.21920752 	0.66406614 	0.71401261 	0.33183438 	0.02175722 	0.98997050 	0.68753631 	0.84983029 	0.44167874 	0.21575140 	
         286 	0.91967416 	0.96648516 	0.42337788 	0.71686357 	0.70020315 	0.39211947 	0.48380212 	0.99382057 	0.79786277 	0.66563888 	0.83340346 	0.42411749 	0.33215929 	0.25583158 	0.56205353 	0.79356616 	0.44842913 	0.09951985 	0.57913135 	0.96694325 	0.48347293 	0.51671279 	0.18341764 	0.33809533 	
         287 	0.52788234 	0.86200689 	0.61050479 	0.28917215 	0.87313331 	0.06607745 	0.44849459 	0.98061213 	0.82634517 	0.54437102 	0.09357436 	0.25578231 	0.39487494 	0.52733821 	0.49450489 	0.82051114 	0.59799628 	0.41193700 	0.07348216 	0.90223273 	0.36431235 	0.08956481 	0.55671669 	0.73166282 	
         288 	0.30656806 	0.16384455 	0.49656031 	0.33975670 	0.13561201 	0.55632736 	0.04729719 	0.95720067 	0.66426739 	0.09531108 	0.56771623 	0.56764673 	0.73801411 	0.62882552 	0.23811831 	0.71836854 	0.58953503 	0.01697489 	0.01108793 	0.74309152 	0.35476162 	0.09974332 	0.84313305 	0.60408128 	
         289 	0.10629506 	0.47882915 	0.76865049 	0.50508081 	0.63608295 	0.65223233 	0.66995812 	0.95605746 	0.86585933 	0.89701240 	0.73946141 	0.30430058 	0.13790814 	0.76863483 	0.82685817 	0.67503643 	0.73990660 	0.75840525 	0.31356501 	0.71942391 	0.93098655 	0.45218962 	0.56257232 	0.89462318 	
         290 	0.08913052 	0.49094471 	0.81402521 	0.11909285 	0.35938512 	0.13860341 	0.09922934 	0.78851661 	0.92740003 	0.87947045 	0.81875714 	0.19901383 	0.28911017 	0.70360937 	0.92199408 	0.91943964 	0.88131417 	0.05318065 	0.83658519 	0.83795865 	0.94792263 	0.26111589 	0.62687930 	0.88760632 	
         291 	0.42831867 	0.02924545 	0.65430209 	0.31926560 	0.38807994 	0.15848633 	0.23947806 	0.80219786 	0.71129584 	0.47144422 	0.64948652 	0.43043973 	0.02520116 	0.85167916 	0.84339259 	0.92855912 	0.75256582 	0.07418064 	0.92479923 	0.51954726 	0.77353499 	0.02322412 	0.48892955 	0.66731110 	
         292 	0.73807996 	0.09774249 	0.04952186 	0.32644382 	0.21921696 	0.69345633 	0.53289187 	0.54541648 	0.27654427 	0.72228904 	0.24507938 	0.01913204 	0.09153808 	0.86388303 	0.50015124 	0.97341483 	0.80741838 	0.05938511 	0.95184791 	0.62292748 	0.67493885 	0.53269096 	0.01427508 	0.38272202 	
         293 	0.08655490 	0.66821599 	0.50389602 	0.12064579 	0.28999694 	0.55487995 	0.05109926 	0.67562002 	0.56038305 	0.60054364 	0.65515302 	0.72107332 	0.16208541 	0.59069821 	0.15834863 	0.96506528 	0.72063254 	0.38015737 	0.38254801 	0.94464719 	0.62116876 	0.23300047 	0.80261697 	0.87106621 	
         294 	0.16072118 	0.71899696 	0.37026822 	0.15814707 	0.24136267 	0.38476557 	0.26750202 	0.14676757 	0.88313050 	0.52485380 	0.73632619 	0.57402866 	0.35371471 	0.35281025 	0.07624726 	0.91660331 	0.03988591 	0.67689820 	0.56281824 	0.64236317 	0.50805418 	0.37876726 	0.91935255 	0.08371187 	
         295 	0.27757981 	0.10730830 	0.46692659 	0.08103389 	0.17278014 	0.35072241 	0.72426409 	0.45499808 	0.98714137 	0.19168628 	0.13540690 	0.36008656 	0.58061718 	0.62262670 	0.26041484 	0.97871490 	0.15032198 	0.42034414 	0.14168396 	0.91893002 	0.15858881 	0.81113581 	0.44630198 	0.25979147 	
         296 	0.54894686 	0.91749128 	0.30443350 	0.79724318 	0.38508693 	0.36063278 	0.42303238 	0.04765388 	0.98307190 	0.05702887 	0.65024478 	0.17305091 	0.20205749 	0.53855370 	0.38326041 	0.89109090 	0.04915880 	0.21862544 	0.22005542 	0.90596269 	0.04424856 	0.88064848 	0.68537591 	0.75287947 	
         297 	0.90698686 	0.91263310 	0.10244357 	0.84186155 	0.42839344 	0.01982839 	0.00602224 	0.82904157 	0.97267147 	0.25847251 	0.42638933 	0.82428436 	0.50687762 	0.28681674 	0.14995129 	0.53385452 	0.07522417 	0.43000704 	0.73591739 	0.93395339 	0.72492029 	0.88611493 	0.47853124 	0.68045291 	
         298 	0.76563444 	0.68945573 	0.27519988 	0.56780871 	0.22253171 	0.36736311 	0.36386304 	0.32249515 	0.62761046 	0.25558924 	0.86394329 	0.82310356 	0.50383688 	0.24704877 	0.26994610 	0.02531294 	0.01945659 	0.49234596 	0.83486929 	0.49334988 	0.14195140 	0.65315769 	0.47124908 	0.81499591 	
         299 	0.79045797 	0.62316971 	0.61664463 	0.45810675 	0.21397739 	0.44903333 	0.45781331 	0.19519543 	0.10786869 	0.73198204 	0.65464915 	0.89004383 	0.39966275 	0.16037900 	0.07040663 	0.08969800 	0.63484757 	0.79272840 	0.81429500 	0.06819894 	0.21308100 	0.83221216 	0.41123609 	0.42816296 	
         300 	0.87234510 	0.84574483 	0.48020675 	0.11240761 	0.48226140 	0.26298099 	0.04968682 	0.01121266 	0.78814491 	0.89020161 	0.38566858 	0.87573976 	0.35760769 	0.25811929 	0.16236646 	0.62616582 	0.50109880 	0.93330856 	0.26422090 	0.36883683 	0.41997274 	0.91174945 	0.56572085 	0.53371690 	
         301 	0.92871753 	0.44288255 	0.96076089 	0.06354251 	0.19158826 	0.02207206 	0.65134860 	0.74252034 	0.90353612 	0.87263232 	0.27376600 	0.92004235 	0.56897965 	0.03180961 	0.32830816 	0.07283284 	0.14589639 	0.96736129 	0.22436526 	0.60855434 	0.12809981 	0.67712489 	0.15058672 	0.31102489 	
         302 	0.97113595 	0.53393560 	0.92191988 	0.58123317 	0.32546709 	0.54284438 	0.77300732 	0.74874175 	0.31828320 	0.74744053 	0.07469468 	0.60386890 	0.87787959 	0.31274585 	0.17788187 	0.31701600 	0.37197043 	0.83251156 	0.16661377 	0.01831802 	0.41984505 	0.79780283 	0.55183659 	0.72326996 	
         303 	0.88198991 	0.36400762 	0.33790411 	0.53170539 	0.00434929 	0.33967192 	0.16748031 	0.79285832 	0.68588428 	0.68103216 	0.72231443 	0.72820235 	0.33998788 	0.51233461 	0.07828754 	0.71280585 	0.47617392 	0.87899664 	0.23257833 	0.29555039 	0.19783803 	0.63850302 	0.41896575 	0.59844149 	
         304 	0.86960219 	0.57103109 	0.18683661 	0.81395508 	0.23586603 	0.45853802 	0.50754333 	0.56663910 	0.61524906 	0.80333313 	0.28701776 	0.07408304 	0.16158323 	0.46083637 	0.72962138 	0.13583607 	0.41139782 	0.19268318 	0.02644216 	0.60526169 	0.55257545 	0.59558988 	0.54992141 	0.96037232 	
         305 	0.00622207 	0.33583077 	0.42144907 	0.68230714 	0.40933909 	0.14802512 	0.56072076 	0.40010978 	0.05781929 	0.65844019 	0.33765528 	0.01455210 	0.14141140 	0.35163664 	0.45822475 	0.45394995 	0.27929838 	0.59203097 	0.44748620 	0.41003410 	0.69222657 	0.86061496 	0.11958456 	0.82775527 	
         306 	0.83429610 	0.35248425 	0.45683577 	0.49426799 	0.13752746 	0.45786998 	0.58420991 	0.82582596 	0.33544210 	0.64027116 	0.03140722 	0.63949169 	0.40478776 	0.40640751 	0.18780751 	0.05908815 	0.52301638 	0.24053603 	0.36205350 	0.08927335 	0.72937877 	0.03350292 	0.14754913 	0.32951604 	
         307 	0.08984955 	0.61927229 	0.26072409 	0.54634070 	0.19015792 	0.76913458 	0.18569060 	0.94769355 	0.57292788 	0.90979810 	0.45494143 	0.63425778 	0.61078643 	0.74758335 	0.71050329 	0.68852534 	0.27905431 	0.29679048 	0.69822767 	0.12881444 	0.64493546 	0.10030829 	0.23760159 	0.41477452 	
         308 	0.07515796 	0.46766617 	0.08730739 	0.38837919 	0.04293869 	0.98884903 	0.75024052 	0.94210829 	0.73816255 	0.97004297 	0.01639112 	0.80863161 	0.52714165 	0.26602800 	0.57492698 	0.19674754 	0.17783563 	0.40486065 	0.12495956 	0.43092881 	0.73311692 	0.77112894 	0.82723335 	0.22100640 	
         309 	0.43640165 	0.50028234 	0.52867762 	0.68563317 	0.82501485 	0.92188741 	0.97761980 	0.96962628 	0.63053023 	0.98491456 	0.17927637 	0.46173258 	0.22922483 	0.95458618 	0.23919114 	0.60467391 	0.75991483 	0.43953172 	0.56205087 	0.85204873 	0.86616324 	0.94924212 	0.54430087 	0.07668697 	
         310 	0.78441692 	0.07941082 	0.66203421 	0.07924377 	0.84968595 	0.96674772 	0.97940680 	0.74448493 	0.70127993 	0.93064759 	0.16390790 	0.31354896 	0.21160900 	0.97373893 	0.00140915 	0.64371074 	0.20731470 	0.45970725 	0.51226056 	0.40104671 	0.86790328 	0.97314384 	0.37466143 	0.52819252 	
         311 	0.25802263 	0.38220989 	0.80057375 	0.19868467 	0.96214561 	0.99381309 	0.98493055 	0.25265874 	0.95636103 	0.76488515 	0.34802730 	0.55694321 	0.86971575 	0.98185933 	0.87657787 	0.75199845 	0.14216279 	0.52677754 	0.28941908 	0.06289268 	0.96528801 	0.97106994 	0.26384303 	0.46256912 	
         312 	0.26414890 	0.50252969 	0.45410875 	0.26129699 	0.96973450 	0.99198493 	0.90278739 	0.00802650 	0.85361966 	0.31199117 	0.76633128 	0.43965108 	0.13209235 	0.68531264 	0.87986721 	0.33347285 	0.63592515 	0.66246768 	0.05809514 	0.32703182 	0.64489387 	0.98781927 	0.46939639 	0.32201713 	
         313 	0.15339408 	0.52008039 	0.72878160 	0.35052171 	0.98191863 	0.99059724 	0.79448292 	0.04874768 	0.91621726 	0.33917048 	0.05149085 	0.42594587 	0.40365876 	0.11145518 	0.87832521 	0.06054829 	0.51189117 	0.89259069 	0.25746450 	0.02526115 	0.74655313 	0.99296287 	0.29742489 	0.18901216 	
         314 	0.03260669 	0.22586066 	0.43583470 	0.65699414 	0.98329445 	0.98868144 	0.70895388 	0.80991743 	0.88729189 	0.90527780 	0.24070066 	0.55789640 	0.20164620 	0.40913639 	0.92824848 	0.64231617 	0.22058493 	0.85113764 	0.86148245 	0.81546355 	0.69158687 	0.97570071 	0.21527855 	0.78994982 	
         315 	0.41667879 	0.10432672 	0.42845861 	0.68434567 	0.97685145 	0.99454373 	0.47744821 	0.71124818 	0.95018624 	0.96626825 	0.33522698 	0.58841472 	0.14661151 	0.17411606 	0.71622289 	0.61164021 	0.42714909 	0.81592398 	0.81496842 	0.57896004 	0.82863974 	0.97479982 	0.34515638 	0.64468537 	
         316 	0.09339801 	0.85634752 	0.31768024 	0.63195839 	0.96029438 	0.98776850 	0.51328239 	0.71489662 	0.95971354 	0.74476763 	0.31811528 	0.65646569 	0.53780294 	0.00912847 	0.68212047 	0.03256835 	0.00678442 	0.78039292 	0.73953193 	0.50046020 	0.40227254 	0.82015046 	0.37301293 	0.40849942 	
         317 	0.59769248 	0.46854127 	0.36172562 	0.86391880 	0.86778876 	0.99093104 	0.47868625 	0.82282852 	0.83397591 	0.71367041 	0.11592907 	0.40516489 	0.41751988 	0.89638092 	0.69719079 	0.19044393 	0.15489389 	0.53150877 	0.28072579 	0.10737623 	0.44042476 	0.49268142 	0.20151513 	0.44539269 	
         318 	0.79548349 	0.28242273 	0.22768695 	0.83494413 	0.96184709 	0.99415383 	0.42625783 	0.83862166 	0.56172424 	0.30997678 	0.48062366 	0.77813704 	0.04637016 	0.66755975 	0.86208709 	0.10489809 	0.30174420 	0.46304659 	0.09715444 	0.67529318 	0.53463557 	0.84194331 	0.08361628 	0.07083593 	
         319 	0.78905631 	0.28502035 	0.27783039 	0.88168843 	0.57414147 	0.99241306 	0.01218501 	0.02230462 	0.38494340 	0.04869312 	0.24446238 	0.84504878 	0.11590705 	0.58812128 	0.53291915 	0.74125656 	0.92569513 	0.13245221 	0.70552076 	0.45309253 	0.56919764 	0.78754248 	0.33202685 	0.67927679 	
         320 	0.87605666 	0.67827319 	0.24512154 	0.07717260 	0.50684321 	0.99545857 	0.35501409 	0.27601869 	0.19719459 	0.00094756 	0.01586175 	0.64192602 	0.14642642 	0.47494067 	0.11597846 	0.02538445 	0.91462607 	0.05998253 	0.02551744 	0.20817024 	0.24485096 	0.46035884 	0.30093819 	0.52394985 	
         321 	0.83731506 	0.27506352 	0.70462836 	0.11822140 	0.25000797 	0.98403027 	0.55475354 	0.23976211 	0.29275655 	0.30198272 	0.01297994 	0.85868447 	0.54822591 	0.17147887 	0.08602120 	0.61712056 	0.54467217 	0.08270058 	0.21881241 	0.35373703 	0.43296160 	0.23778138 	0.14473052 	0.25127350 	
         322 	0.55441126 	0.53197633 	0.59572595 	0.26916091 	0.60439766 	0.96012135 	0.57737243 	0.22952870 	0.68475436 	0.53431902 	0.65271400 	0.70936449 	0.31526797 	0.00170780 	0.51151365 	0.47905874 	0.36367844 	0.25010361 	0.09872316 	0.78330843 	0.34129903 	0.11218428 	0.49415949 	0.23323553 	
         323 	0.84793803 	0.92515764 	0.87655086 	0.00411600 	0.35780368 	0.88525898 	0.95195687 	0.08696381 	0.55360507 	0.62269890 	0.31694901 	0.51997721 	0.04566648 	0.39055191 	0.90366963 	0.32352710 	0.22794575 	0.10375206 	0.15607261 	0.45337657 	0.96577601 	0.63040461 	0.23250000 	0.07478802 	
         324 	0.89066908 	0.36273529 	0.96696609 	0.16472698 	0.29755802 	0.69653321 	0.85210311 	0.71780949 	0.61331167 	0.05929397 	0.00064230 	0.42021583 	0.46759297 	0.56992665 	0.92802115 	0.59280428 	0.10369615 	0.32483041 	0.26910997 	0.45563384 	0.99154660 	0.32237134 	0.25053921 	0.69814359 	
         325 	0.93698242 	0.54377977 	0.92912209 	0.05085732 	0.16845411 	0.08776273 	0.98923882 	0.82081586 	0.14270319 	0.76665527 	0.50324134 	0.16211207 	0.00555331 	0.34797234 	0.91870821 	0.02084665 	0.30594068 	0.51352433 	0.45025757 	0.49213924 	0.98891314 	0.70648278 	0.24827077 	0.35076982 	
         326 	0.90008919 	0.46168939 	0.85684277 	0.13944889 	0.40847133 	0.77483779 	0.99753148 	0.48343619 	0.63334774 	0.95918729 	0.49046012 	0.82558615 	0.86626286 	0.40189551 	0.62113715 	0.00847589 	0.17303616 	0.51274580 	0.72833805 	0.75340765 	0.98503723 	0.46836168 	0.18190131 	0.80859485 	
         327 	0.97070506 	0.05624542 	0.57076342 	0.81580238 	0.22590264 	0.60666991 	0.99832641 	0.84086973 	0.48451498 	0.92784767 	0.48984751 	0.71384794 	0.91551841 	0.03974541 	0.31816399 	0.20715429 	0.14242696 	0.74017441 	0.41834584 	0.18203830 	0.97135330 	0.15867494 	0.21470217 	0.32473627 	
         328 	0.96899461 	0.50186340 	0.70942177 	0.82387812 	0.50332914 	0.38100794 	0.99829338 	0.55760051 	0.16002132 	0.87465771 	0.12115713 	0.28394008 	0.14757887 	0.05777924 	0.60659519 	0.51586400 	0.13821835 	0.67921019 	0.96360007 	0.43628265 	0.75091745 	0.32876569 	0.03105316 	0.54626764 	
         329 	0.96717813 	0.08353158 	0.06782485 	0.59649654 	0.02879737 	0.58890961 	0.99627610 	0.21927980 	0.30003754 	0.48244530 	0.70704879 	0.36033137 	0.59728113 	0.14625122 	0.75085948 	0.47355693 	0.29605063 	0.63568056 	0.96116999 	0.60102114 	0.95668828 	0.51286785 	0.63583612 	0.31000111 	
         330 	0.98166914 	0.00024793 	0.07638442 	0.37977719 	0.08721696 	0.50791887 	0.90401012 	0.36134966 	0.60008781 	0.34020302 	0.49424986 	0.40571842 	0.08393936 	0.51597086 	0.27671441 	0.54377528 	0.07373996 	0.03272380 	0.93250942 	0.38834999 	0.90870431 	0.58405844 	0.65464934 	0.14054482 	
         331 	0.79767147 	0.75892520 	0.62809065 	0.20458761 	0.05949667 	0.22756516 	0.52905407 	0.47755253 	0.52125194 	0.54791773 	0.48462064 	0.29699726 	0.39876992 	0.75712749 	0.41720108 	0.65137407 	0.64714932 	0.39423927 	0.97639016 	0.17097713 	0.83344219 	0.14153349 	0.57601703 	0.26850576 	
         332 	0.57961105 	0.54623234 	0.85566206 	0.11947019 	0.53757410 	0.00183605 	0.42440687 	0.29771521 	0.70872090 	0.06431372 	0.50842554 	0.72210399 	0.06691563 	0.08882047 	0.59273311 	0.90505357 	0.31300534 	0.13306665 	0.87720936 	0.35275860 	0.86898004 	0.78683503 	0.49281583 	0.66675550 	
         333 	0.72840491 	0.54839614 	0.42518201 	0.35124040 	0.57237938 	0.06759878 	0.26135060 	0.66738689 	0.77439327 	0.35685152 	0.10891243 	0.91362353 	0.17932614 	0.00453296 	0.17194408 	0.82777522 	0.05419561 	0.23211089 	0.22127336 	0.53158998 	0.88301725 	0.88800917 	0.73765727 	0.91775419 	
         334 	0.61007175 	0.88108812 	0.26092508 	0.25805969 	0.19863315 	0.01208621 	0.72170961 	0.26901485 	0.62627462 	0.21423005 	0.46062928 	0.78708233 	0.36613731 	0.39651343 	0.00439015 	0.88965348 	0.54886613 	0.20925890 	0.24996668 	0.52596804 	0.71053308 	0.71444770 	0.56855050 	0.51012984 	
         335 	0.64244354 	0.88976084 	0.68868315 	0.75781464 	0.15195928 	0.76676162 	0.09327416 	0.33236195 	0.33917466 	0.07542318 	0.13030486 	0.80523944 	0.02603611 	0.88483622 	0.00013187 	0.89006221 	0.05415061 	0.10273287 	0.09575847 	0.68192097 	0.73463657 	0.34054583 	0.00188812 	0.41540978 	
         336 	0.32065790 	0.97091202 	0.41626348 	0.71306338 	0.37445718 	0.25862119 	0.45748225 	0.07970893 	0.04069300 	0.36651594 	0.49472145 	0.90861808 	0.70498721 	0.58466265 	0.20118945 	0.96454347 	0.07174602 	0.58331058 	0.54155341 	0.11226241 	0.46783985 	0.20630732 	0.45037542 	0.06670596 	
         337 	0.40925614 	0.98804076 	0.42708130 	0.64816735 	0.83691383 	0.07629995 	0.88121867 	0.21077616 	0.28690432 	0.39378138 	0.59091171 	0.75857045 	0.39287946 	0.48042742 	0.50884580 	0.94496324 	0.44484783 	0.03144586 	0.89779682 	0.20503462 	0.62324490 	0.63371462 	0.08755552 	0.49577812 	
         338 	0.59521283 	0.95946835 	0.43636212 	0.53906744 	0.89856728 	0.27134709 	0.52062416 	0.64490218 	0.68404425 	0.65137683 	0.74799173 	0.80554408 	0.55214464 	0.01538096 	0.33257277 	0.94966394 	0.25868298 	0.42018172 	0.87096437 	0.17824138 	0.58003409 	0.63200085 	0.39601949 	0.67222211 	
         339 	0.76813929 	0.98079565 	0.68512508 	0.12324226 	0.98051068 	0.11130274 	0.18791979 	0.48532813 	0.34287822 	0.57603293 	0.11602321 	0.84166841 	0.70803665 	0.15667581 	0.23041899 	0.18885175 	0.65709248 	0.75009921 	0.67424604 	0.06607677 	0.25595954 	0.92031013 	0.37659364 	0.20930560 	
         340 	0.55911103 	0.88728546 	0.72722048 	0.48184010 	0.99740368 	0.81191431 	0.77519316 	0.60850458 	0.75979133 	0.61919107 	0.35306925 	0.69898944 	0.78084518 	0.56304804 	0.52217377 	0.83385891 	0.73839280 	0.02789982 	0.27659946 	0.73164194 	0.47384859 	0.79283497 	0.36873943 	0.11030777 	
         341 	0.52304458 	0.96345208 	0.82112620 	0.22506245 	0.99445883 	0.03132176 	0.39397346 	0.30241336 	0.68441881 	0.58221197 	0.19065205 	0.28364477 	0.87306288 	0.15517434 	0.77039687 	0.54523491 	0.63403333 	0.50321439 	0.81016946 	0.86724372 	0.91512762 	0.72362685 	0.04619256 	0.75247782 	
         342 	0.21120839 	0.84074436 	0.80706030 	0.49809767 	0.99160320 	0.09452252 	0.72232684 	0.56078572 	0.31520291 	0.19757460 	0.46196938 	0.29413345 	0.92050910 	0.45124819 	0.79807833 	0.07568902 	0.55678378 	0.10618862 	0.74202403 	0.75702082 	0.50693793 	0.10821199 	0.49080241 	0.84007579 	
         343 	0.85330484 	0.74299603 	0.68855823 	0.03809463 	0.98134114 	0.58403978 	0.00093884 	0.31384521 	0.75324120 	0.00237994 	0.08217636 	0.47430996 	0.83356682 	0.60436825 	0.92264639 	0.37163428 	0.56118888 	0.55567981 	0.31973648 	0.69286715 	0.16882481 	0.10495934 	0.10082959 	0.94971557 	
         344 	0.79875778 	0.52255568 	0.20417508 	0.35716511 	0.89803469 	0.50407492 	0.17823113 	0.67313092 	0.70595150 	0.90721606 	0.75440954 	0.18423949 	0.69869086 	0.54835240 	0.48890981 	0.69388912 	0.87094007 	0.71483338 	0.27738963 	0.42712689 	0.86354780 	0.38698861 	0.69282397 	0.97159136 	
         345 	0.23677458 	0.79687782 	0.09640213 	0.65152692 	0.82659029 	0.45316661 	0.23772891 	0.33836732 	0.51997054 	0.41703115 	0.41913567 	0.72970642 	0.36647877 	0.42486402 	0.51370319 	0.50831616 	0.53847457 	0.90915784 	0.68881102 	0.66535300 	0.68308054 	0.50570682 	0.58173013 	0.94519756 	
         346 	0.29096759 	0.71823264 	0.05543164 	0.69736787 	0.31331575 	0.52246238 	0.41962373 	0.45009724 	0.78942059 	0.35550615 	0.06334251 	0.68631624 	0.09136169 	0.79087061 	0.09205761 	0.71685672 	0.67778451 	0.80781117 	0.03001423 	0.14768694 	0.40684752 	0.78618522 	0.23632881 	0.83860265 	
         347 	0.44771820 	0.03171463 	0.72136271 	0.71909794 	0.60266681 	0.28120526 	0.43208191 	0.40325406 	0.60434865 	0.42188301 	0.66725096 	0.41319736 	0.26179754 	0.31721456 	0.39214204 	0.35146515 	0.41254550 	0.91950233 	0.80506801 	0.47416246 	0.73260756 	0.80140042 	0.18316957 	0.59404836 	
         348 	0.61322412 	0.83167009 	0.51397362 	0.90683086 	0.50306870 	0.08948837 	0.02426429 	0.49960074 	0.08133335 	0.24082928 	0.39632378 	0.28860997 	0.19842227 	0.36848153 	0.36808161 	0.21167265 	0.85951271 	0.90701078 	0.29879330 	0.02169920 	0.78541294 	0.51342724 	0.32313507 	0.66384643 	
         349 	0.21008356 	0.89173589 	0.18300823 	0.47211988 	0.84885934 	0.64641080 	0.38969008 	0.47172711 	0.49671423 	0.72651464 	0.55062831 	0.06062957 	0.10289798 	0.85289038 	0.31741402 	0.75331750 	0.93896598 	0.75008763 	0.24173157 	0.59808726 	0.90890944 	0.75891159 	0.38614943 	0.30865321 	
         350 	0.69792736 	0.96644752 	0.17573810 	0.84195942 	0.68786249 	0.60115588 	0.63816196 	0.57692266 	0.53760382 	0.83059338 	0.66872662 	0.45613619 	0.07551885 	0.45691988 	0.71849136 	0.74827019 	0.85656884 	0.72682733 	0.23629402 	0.84746255 	0.94196937 	0.79050789 	0.42745476 	0.46545711 	
         351 	0.28882012 	0.91557194 	0.78326705 	0.86178740 	0.48215282 	0.92090211 	0.41422680 	0.46248156 	0.55047323 	0.94411388 	0.23030559 	0.05114543 	0.01814527 	0.42970160 	0.36796723 	0.43253712 	0.92710009 	0.00314005 	0.53401966 	0.67646908 	0.64389391 	0.76558194 	0.48025558 	0.36707784 	
