#NEXUS

[1 samples from mcmc run generated by language trees. File written 27-Aug-2021 15:44:16]
[This file contains the values of XI at each leaf.]
[For associated trees see same file with .nex extension]
[Sample 	armenian   	lycian   	hittite   	luvian   	oldirish   	welsh   	latin   	oscan   	umbrian   	oldhighgerman   	gothic   	oldenglish   	oldnorse   	lithuanian   	oldprussian   	oldcslavonic   	latvian   	avestan   	vedic   	oldpersian   	tocharian_b   	tocharian_a   	albanian   	greek   	]
          35 	0.07479380 	0.97323819 	0.63878636 	0.99754141 	0.03507621 	0.73559670 	0.93100298 	0.65037787 	0.87946121 	0.62926579 	0.13782758 	0.61507893 	0.23842764 	0.81583451 	0.87742651 	0.83880163 	0.08779127 	0.03064471 	0.76641940 	0.55317193 	0.29516790 	0.81046279 	0.08912556 	0.41784288 	
          36 	0.48905380 	0.67396743 	0.00606302 	0.99886751 	0.35747844 	0.71387522 	0.76643817 	0.67347093 	0.81227636 	0.13747976 	0.11505099 	0.45511264 	0.19625852 	0.92284992 	0.43041765 	0.41103548 	0.01176949 	0.74984889 	0.69564890 	0.72540474 	0.80309845 	0.81710382 	0.02413783 	0.67559235 	
          37 	0.09059209 	0.52416496 	0.36870547 	0.99795096 	0.49612471 	0.80323215 	0.63865656 	0.69913393 	0.85406177 	0.34552799 	0.31287154 	0.33511584 	0.72616425 	0.95619019 	0.22046584 	0.47647450 	0.61046012 	0.54096299 	0.38117650 	0.89039896 	0.95407243 	0.93133751 	0.64348411 	0.89550104 	
          38 	0.18222126 	0.58695517 	0.00237912 	0.95545371 	0.62585091 	0.22963992 	0.66030930 	0.39376228 	0.19610141 	0.54079564 	0.02846285 	0.06114444 	0.76242404 	0.72126229 	0.10179906 	0.48685753 	0.27469562 	0.77164422 	0.11145744 	0.55904652 	0.82533300 	0.97734690 	0.58613358 	0.77731553 	
          39 	0.37148816 	0.57482151 	0.46263498 	0.96234711 	0.62659786 	0.16339523 	0.31333739 	0.78738646 	0.47525241 	0.47959286 	0.15667890 	0.11330850 	0.70587972 	0.05609438 	0.54229741 	0.42075640 	0.47516336 	0.92996755 	0.35878207 	0.44084744 	0.65279624 	0.90138065 	0.60278042 	0.48960836 	
          40 	0.07031256 	0.30407266 	0.37405630 	0.54021509 	0.70579432 	0.25891462 	0.58421001 	0.88287378 	0.52321101 	0.78610551 	0.87969502 	0.80747410 	0.94430386 	0.36520201 	0.20265589 	0.21022290 	0.78652068 	0.88770310 	0.46429514 	0.20508946 	0.40722974 	0.89454226 	0.61925616 	0.73564194 	
          41 	0.17943163 	0.45959681 	0.82323173 	0.44324191 	0.37272166 	0.81803518 	0.68873023 	0.97383339 	0.56965224 	0.79221855 	0.81184424 	0.69832116 	0.94520958 	0.24702809 	0.42453212 	0.04126174 	0.60857867 	0.97364814 	0.34334296 	0.49821893 	0.54541366 	0.84251645 	0.68445291 	0.55859803 	
          42 	0.86138169 	0.78107331 	0.74330187 	0.72565351 	0.77328385 	0.83229324 	0.22865672 	0.92397134 	0.11114202 	0.73619492 	0.25250694 	0.71402960 	0.94855674 	0.04281709 	0.22007601 	0.22026828 	0.91350705 	0.83572556 	0.66868247 	0.60628090 	0.55044299 	0.94501371 	0.75583097 	0.30118435 	
          43 	0.55613239 	0.69824548 	0.15518285 	0.71494206 	0.70147716 	0.79084820 	0.10391382 	0.92823983 	0.32375343 	0.84202940 	0.14832993 	0.01836007 	0.77201279 	0.63992524 	0.00054285 	0.64048363 	0.85136904 	0.37484420 	0.77093052 	0.17549133 	0.24701912 	0.94247294 	0.84442947 	0.71854409 	
          44 	0.35999567 	0.33075667 	0.34619486 	0.96163274 	0.08342028 	0.95593660 	0.24137331 	0.43465069 	0.62805803 	0.46543396 	0.28553562 	0.46057651 	0.69385028 	0.53084816 	0.64023086 	0.89489338 	0.72383339 	0.78196357 	0.98292853 	0.55964408 	0.31866864 	0.93099747 	0.93023622 	0.84547344 	
