#NEXUS

[1 samples from mcmc run generated by language trees. File written 27-Aug-2021 15:46:41]
[This file contains the values of XI at each leaf.]
[For associated trees see same file with .nex extension]
[Sample 	armenian   	lycian   	luvian   	hittite   	oldirish   	welsh   	umbrian   	latin   	oscan   	oldhighgerman   	gothic   	oldenglish   	oldnorse   	lithuanian   	oldprussian   	oldcslavonic   	latvian   	oldpersian   	vedic   	avestan   	tocharian_a   	tocharian_b   	albanian   	greek   	]
         906 	0.23616324 	0.37780582 	0.82468530 	0.84393010 	0.20091116 	0.91870555 	0.60423159 	0.89731379 	0.64334674 	0.56668503 	0.57662290 	0.04550148 	0.31627600 	0.56468487 	0.38806472 	0.88362015 	0.34283757 	0.97797180 	0.54779583 	0.07491082 	0.85977854 	0.66985321 	0.28270284 	0.06287320 	
         907 	0.16843687 	0.85611992 	0.90713787 	0.95829879 	0.68083243 	0.91864953 	0.56139527 	0.56669417 	0.81065519 	0.33518742 	0.84758278 	0.46383409 	0.22608037 	0.54939320 	0.17623377 	0.75704585 	0.24563950 	0.89894615 	0.01746109 	0.40997376 	0.97677516 	0.82045086 	0.32576335 	0.83118795 	
         908 	0.23800239 	0.53195457 	0.92147761 	0.95217358 	0.70274390 	0.87640099 	0.22839464 	0.07468947 	0.83372765 	0.32234754 	0.78275237 	0.62825551 	0.18072059 	0.22834840 	0.26036465 	0.86340988 	0.24994281 	0.78363038 	0.23811220 	0.26400812 	0.73147639 	0.44153398 	0.01680676 	0.68599522 	
         909 	0.55600816 	0.21853785 	0.87995140 	0.77283425 	0.63953784 	0.92191579 	0.55237618 	0.46326645 	0.56560241 	0.24349965 	0.91990924 	0.83513245 	0.09540313 	0.22928295 	0.58066099 	0.92780401 	0.23964395 	0.40941036 	0.33599084 	0.44041516 	0.21571965 	0.59754821 	0.15053055 	0.60189521 	
         910 	0.57016346 	0.06759261 	0.77864953 	0.07191004 	0.10433897 	0.94415766 	0.06174247 	0.56869013 	0.86646756 	0.64734068 	0.79022042 	0.74656263 	0.22160357 	0.44400867 	0.10210682 	0.99169059 	0.06873058 	0.89907389 	0.02425299 	0.22339200 	0.38790690 	0.86410476 	0.30224815 	0.19106095 	
         911 	0.64736107 	0.17480343 	0.22975471 	0.11588885 	0.36592691 	0.52347741 	0.51244455 	0.50385761 	0.48538441 	0.82049965 	0.28119488 	0.21947747 	0.11822048 	0.48726769 	0.69615964 	0.98277095 	0.26298710 	0.91828965 	0.66737887 	0.28744502 	0.02431889 	0.83002987 	0.09430773 	0.73591961 	
         912 	0.07588015 	0.62953106 	0.22584112 	0.27433959 	0.47941920 	0.16071550 	0.14731645 	0.21559853 	0.87090719 	0.42274447 	0.32245930 	0.50909649 	0.29136040 	0.67982539 	0.38564517 	0.98610455 	0.29859765 	0.77173586 	0.47368158 	0.46324873 	0.54842769 	0.84395177 	0.75930095 	0.67872563 	
         913 	0.29528854 	0.71427809 	0.82417112 	0.05006785 	0.71816748 	0.06104611 	0.14041392 	0.28218882 	0.97113280 	0.22827438 	0.78714394 	0.89516060 	0.20109398 	0.51319803 	0.83431812 	0.99254743 	0.43877348 	0.73482549 	0.86098580 	0.48676727 	0.19013119 	0.96944948 	0.90625906 	0.73297999 	
         914 	0.34551376 	0.89025995 	0.76999281 	0.62861513 	0.73470983 	0.32254262 	0.61266919 	0.38839604 	0.88297689 	0.46811458 	0.87583816 	0.27732874 	0.54666692 	0.62315643 	0.83747535 	0.99805287 	0.56139187 	0.16347143 	0.74893948 	0.38769842 	0.34309024 	0.66294131 	0.86143099 	0.49347593 	
         915 	0.31257758 	0.65681335 	0.76520228 	0.32452360 	0.87117241 	0.74629645 	0.73458534 	0.79553484 	0.82028842 	0.37772183 	0.14261208 	0.60251051 	0.27204655 	0.64593016 	0.92175640 	0.98905281 	0.82976494 	0.44784972 	0.95169509 	0.14928461 	0.89655658 	0.93023439 	0.92117806 	0.13156124 	
         916 	0.68765577 	0.79362202 	0.90051115 	0.60978693 	0.50640612 	0.60295293 	0.88310745 	0.68588604 	0.88406545 	0.52229106 	0.69532184 	0.11525042 	0.81388988 	0.87611352 	0.67807255 	0.99830650 	0.92894220 	0.67907770 	0.91951217 	0.48882825 	0.16671585 	0.85416722 	0.94797832 	0.64816946 	
         917 	0.55502176 	0.74348078 	0.27008594 	0.78096344 	0.67384492 	0.26683482 	0.74559607 	0.65667486 	0.83649596 	0.65594949 	0.21971701 	0.21033478 	0.20055963 	0.78275759 	0.75942901 	0.96488527 	0.76524538 	0.77853076 	0.66135899 	0.83047687 	0.13316974 	0.17786327 	0.98026970 	0.64332227 	
         918 	0.23537965 	0.93412411 	0.36474432 	0.83707001 	0.79252962 	0.56290389 	0.44141675 	0.46179321 	0.70338169 	0.14993336 	0.07669315 	0.03939344 	0.52113206 	0.21586909 	0.72039142 	0.93644005 	0.68257811 	0.24717297 	0.40774612 	0.25743030 	0.56372092 	0.43960909 	0.77222849 	0.49233457 	
         919 	0.03404215 	0.85969807 	0.15546427 	0.78471050 	0.77963786 	0.48778789 	0.19524090 	0.81182724 	0.42061898 	0.72374221 	0.65637592 	0.15511585 	0.58950831 	0.46514644 	0.81106045 	0.67594232 	0.94325407 	0.27045906 	0.26203608 	0.12105151 	0.89808641 	0.45176537 	0.84966828 	0.09811224 	
         920 	0.02164349 	0.57726172 	0.12828668 	0.69755303 	0.67809198 	0.68550058 	0.54839233 	0.63123261 	0.70898993 	0.34524532 	0.21452553 	0.63166251 	0.78544703 	0.00252861 	0.66670371 	0.30175124 	0.37515633 	0.57179395 	0.45105269 	0.30089262 	0.72939530 	0.11624619 	0.70797927 	0.52724184 	
         921 	0.69440905 	0.75935002 	0.29577079 	0.43915616 	0.50012685 	0.19373716 	0.01627299 	0.19479924 	0.54055108 	0.31148401 	0.40943752 	0.76891616 	0.92842919 	0.20121227 	0.87113637 	0.84875735 	0.74677989 	0.07583518 	0.44851070 	0.65487028 	0.19785593 	0.10946484 	0.07339289 	0.30781979 	
         922 	0.79987367 	0.86825167 	0.09297882 	0.51958635 	0.20878459 	0.88155101 	0.22393445 	0.31109738 	0.73309365 	0.09673944 	0.52279301 	0.92607708 	0.98945528 	0.35402211 	0.92953632 	0.84066368 	0.61031690 	0.07780092 	0.31172990 	0.16307669 	0.06701354 	0.54675520 	0.27029356 	0.43375118 	
         923 	0.62399546 	0.97011246 	0.75899172 	0.68692826 	0.44606722 	0.95056429 	0.22089826 	0.25360859 	0.30018255 	0.03409313 	0.10082968 	0.66997247 	0.99506367 	0.30512083 	0.99628497 	0.84645334 	0.55518433 	0.06032001 	0.05610926 	0.30151053 	0.46779833 	0.44608501 	0.68877926 	0.12903112 	
         924 	0.64903359 	0.97808628 	0.07685533 	0.78911191 	0.58546922 	0.60744862 	0.29445353 	0.04411201 	0.67299441 	0.63047580 	0.29114864 	0.43478935 	0.99774004 	0.10230657 	0.98790190 	0.60292827 	0.64922910 	0.38841288 	0.43196923 	0.18668700 	0.91090122 	0.13163972 	0.24482576 	0.47883842 	
         925 	0.80353118 	0.98721158 	0.29228419 	0.57326472 	0.47236407 	0.59962382 	0.25641195 	0.43734845 	0.50639731 	0.74370273 	0.50037787 	0.70112374 	0.99474841 	0.62988951 	0.90057979 	0.32629682 	0.41903537 	0.67931044 	0.82381002 	0.91077841 	0.89406973 	0.01807657 	0.39179829 	0.71746319 	
         926 	0.00526217 	0.97107862 	0.01373049 	0.33425461 	0.66170294 	0.51602263 	0.48564866 	0.12840917 	0.00224189 	0.28263550 	0.75157904 	0.52248067 	0.99714513 	0.95178840 	0.96197988 	0.65479169 	0.19823715 	0.68042969 	0.86983565 	0.98276720 	0.87901507 	0.11235352 	0.33888509 	0.52796782 	
         927 	0.35379218 	0.94810150 	0.87355901 	0.24517382 	0.72117245 	0.75769167 	0.96024281 	0.50115754 	0.25021460 	0.19916249 	0.42024156 	0.64224469 	0.99803687 	0.95863177 	0.97817213 	0.90409771 	0.67920253 	0.61046362 	0.91185775 	0.87404715 	0.79033627 	0.88632324 	0.14844852 	0.15605547 	
         928 	0.23584158 	0.89910221 	0.82198898 	0.34015596 	0.28237105 	0.54374832 	0.73722922 	0.29728247 	0.19476172 	0.24817747 	0.17067704 	0.02803036 	0.95505336 	0.99311155 	0.85502799 	0.75484061 	0.60446694 	0.39435065 	0.46502112 	0.78284554 	0.43587786 	0.94200224 	0.47491176 	0.06736637 	
         929 	0.61956059 	0.37712081 	0.74764306 	0.20106828 	0.45191147 	0.21434264 	0.76042035 	0.22908831 	0.81840965 	0.54646533 	0.62915411 	0.30951726 	0.76676627 	0.98940201 	0.84972854 	0.08179640 	0.65171778 	0.54682057 	0.44711100 	0.49730471 	0.73940891 	0.85255720 	0.51726294 	0.05915412 	
         930 	0.88474076 	0.55181279 	0.58534705 	0.77782566 	0.35301776 	0.47994589 	0.86061214 	0.61263215 	0.82939688 	0.75255814 	0.24148443 	0.57522239 	0.81799983 	0.98752747 	0.47166456 	0.38631986 	0.45971251 	0.09326411 	0.34149723 	0.04228405 	0.68780124 	0.66531198 	0.47609825 	0.30679328 	
         931 	0.66128515 	0.54106950 	0.15035477 	0.88739443 	0.09784400 	0.29975469 	0.74988375 	0.53078872 	0.84918517 	0.79807705 	0.36327849 	0.68696637 	0.90815207 	0.96367521 	0.67212274 	0.09731394 	0.83748062 	0.43635065 	0.17354735 	0.64771965 	0.73525223 	0.09604975 	0.19419621 	0.89507487 	
         932 	0.14516887 	0.49274690 	0.00543227 	0.44966385 	0.08711054 	0.67169460 	0.86695639 	0.30195899 	0.87012554 	0.45284993 	0.20895420 	0.53103697 	0.87188699 	0.95502108 	0.32322027 	0.01943832 	0.41828906 	0.65582771 	0.49116883 	0.36674649 	0.08269614 	0.35332729 	0.91680037 	0.72345100 	
         933 	0.14524176 	0.14176200 	0.19099855 	0.57346610 	0.58526699 	0.61685921 	0.37446011 	0.77911443 	0.98065213 	0.59870656 	0.47746117 	0.31345431 	0.80175012 	0.97308813 	0.64497583 	0.69908928 	0.07396665 	0.74057695 	0.64746573 	0.53484985 	0.34421859 	0.01436955 	0.78990592 	0.65882313 	
         934 	0.71084339 	0.02481806 	0.64549172 	0.27724218 	0.58641018 	0.00878451 	0.26434499 	0.69940996 	0.99483681 	0.45351839 	0.47723562 	0.66220409 	0.68211455 	0.98954796 	0.90596001 	0.86174659 	0.59526248 	0.41170468 	0.51997746 	0.17362612 	0.03871876 	0.55227470 	0.26558730 	0.44891384 	
         935 	0.77411227 	0.05016242 	0.30366469 	0.80234161 	0.52879110 	0.50308309 	0.50891988 	0.76529760 	0.99546700 	0.23598034 	0.44017250 	0.11093954 	0.72291108 	0.95379415 	0.34995385 	0.31804714 	0.82588072 	0.77301260 	0.84976948 	0.46635991 	0.12411015 	0.42544918 	0.62772472 	0.62014924 	
