#NEXUS

[1 samples from mcmc run generated by language trees. File written 27-Aug-2021 15:40:33]
[This file contains the values of XI at each leaf.]
[For associated trees see same file with .nex extension]
[Sample 	armenian   	lycian   	hittite   	luvian   	oldirish   	welsh   	oscan   	latin   	umbrian   	oldenglish   	gothic   	oldhighgerman   	oldnorse   	lithuanian   	oldprussian   	oldcslavonic   	latvian   	oldpersian   	vedic   	avestan   	tocharian_b   	tocharian_a   	albanian   	greek   	]
          11 	0.99931975 	0.12540855 	0.91832812 	0.49219299 	0.99201208 	0.99427059 	0.23004560 	0.99631274 	0.26985273 	0.99969893 	0.88083822 	0.99895133 	0.99872438 	0.99912803 	0.87532705 	0.97813410 	0.98910072 	0.40440600 	0.99890977 	0.94306137 	0.96007829 	0.91619162 	0.99951604 	0.98976607 	
          12 	0.99928722 	0.11964563 	0.90503168 	0.55230539 	0.99419964 	0.98925100 	0.23890873 	0.99628190 	0.29222664 	0.99886505 	0.86092004 	0.99917857 	0.99573647 	0.99969365 	0.86046796 	0.99194052 	0.99778680 	0.41126202 	0.99894716 	0.92460683 	0.94570699 	0.92477007 	0.99990196 	0.99473577 	
          13 	0.99952561 	0.11390030 	0.94127991 	0.53534988 	0.97938977 	0.99092668 	0.27052596 	0.99119894 	0.28237565 	0.99591658 	0.87839552 	0.99957738 	0.99114261 	0.99987829 	0.87160475 	0.99350710 	0.99548747 	0.45364290 	0.99953435 	0.93419269 	0.95448916 	0.90783871 	0.99994224 	0.99542211 	
          14 	0.99736871 	0.13444774 	0.93414893 	0.52738787 	0.98842024 	0.99179053 	0.28744147 	0.99181864 	0.29901638 	0.99822288 	0.88121536 	0.99947647 	0.99629790 	0.99887187 	0.85854815 	0.99051226 	0.99393247 	0.39868318 	0.99761366 	0.94864691 	0.94195639 	0.90940006 	0.99997032 	0.99735871 	
          15 	0.99827582 	0.13705966 	0.91538752 	0.52835020 	0.97398525 	0.98948872 	0.28959171 	0.99647640 	0.30113169 	0.99379102 	0.91479720 	0.99958700 	0.99782517 	0.99973755 	0.85932885 	0.97932482 	0.99795751 	0.40049773 	0.99937358 	0.96078083 	0.95771289 	0.90527519 	0.99996949 	0.99924621 	
          16 	0.99844304 	0.12777879 	0.90096448 	0.52327764 	0.99099932 	0.99132038 	0.28195131 	0.99880836 	0.28673757 	0.99632449 	0.91033672 	0.99882506 	0.99612177 	0.99978204 	0.85885051 	0.99027340 	0.99596396 	0.39405012 	0.99889009 	0.95572838 	0.94526105 	0.93512662 	0.99986203 	0.99449795 	
          17 	0.99498862 	0.13281795 	0.90553916 	0.50110918 	0.99085302 	0.98994193 	0.28316997 	0.99386566 	0.28696248 	0.99909000 	0.90194988 	0.99906826 	0.99271997 	0.99872760 	0.89204377 	0.99264298 	0.99746754 	0.39755093 	0.99702375 	0.95438771 	0.95528588 	0.89915454 	0.99996667 	0.98711951 	
          18 	0.99881811 	0.11753096 	0.90693460 	0.49662458 	0.98404610 	0.99331189 	0.27053344 	0.99780387 	0.31019558 	0.99804035 	0.90983127 	0.99899682 	0.99774188 	0.99650878 	0.88937533 	0.99289566 	0.99555017 	0.38693075 	0.99706062 	0.94746595 	0.94393712 	0.88714871 	0.99997554 	0.99558259 	
          19 	0.99836281 	0.12610460 	0.90995604 	0.54846131 	0.98256050 	0.99720568 	0.23117471 	0.99843674 	0.30589709 	0.99901700 	0.90193937 	0.99985773 	0.99642555 	0.99794726 	0.85162180 	0.98655640 	0.99664867 	0.43802852 	0.99880088 	0.94445901 	0.96738795 	0.92006955 	0.99996931 	0.99591541 	
          20 	0.99731327 	0.10705915 	0.91352914 	0.58827105 	0.97637730 	0.99938203 	0.21441913 	0.99636026 	0.30881691 	0.99907504 	0.87713031 	0.99943321 	0.99334323 	0.99768666 	0.87443786 	0.99227912 	0.99214778 	0.45316233 	0.99933824 	0.96788988 	0.90264634 	0.90629965 	0.99994495 	0.99540611 	
